id;kategoria;KTO;CO;TRIGGER;GDZIE;KIEDY
1358;POLITYKA;Mateusz Morawiecki;import LPG;rezygnacja;Polska/Rosja;do końca roku
1359;POLITYKA;Kreml;skutki sankcji;stara się minimalizować;Rosja;
1360;POLITYKA;chińskie MSZ;decyzja o wykluczeniu Huawei/ZTE;oświadczyło o wycofaniu;Szwecja;środa
1361;BIZNES;Adam Glapiński;polityka pieniężna;będzie prowadzona;Polska;czwartek
1362;PRZESTEPSTWO (zatrzymać);prezes UOKiK;praktyki biur turystycznych;wezwanie do zaniechania;Polska;
1363;BRAK_ZDARZENIA;energia słoneczna;wady;ma;;
1364;BIZNES;bank;opłaty za korzystanie z kapitału;żąda;Polska;
1365;POLITYKA;PiS;wiadomości dla banków;ma;Polska;
1366;BIZNES;;wartość cebuli;wzrosła o 100 proc.;Polska;
1367;POLITYKA;Paweł Jabłoński;zarzuty dla TVN;napisał;Twitter;
1368;POLITYKA;Dmitrij Pieskow;porozumienie;nie ma;Rosja;sobota
1369;POLITYKA;Katarzyna Kalata;wizerunek ZUS;zamierza oczyścić;Polska;
1370;BIZNES;studenci PŚ;projekt ekobudynku;wyróżnieni;Katowice;
1371;BIZNES;Mateusz Morawiecki;zagraniczne inwestycje;przekonuje;Davos;czwartek
1372;BIZNES;;energetyka wiatrowa na morzu;chcemy mieć;Bałtyk;
1373;BIZNES;Orlen;przejęcie Energi;doszło;Polska;
1374;BIZNES;obywatele Niemiec;181 mld euro na kontach;przechowywali;Jersey;2018 r.
1375;BIZNES;;rzecz z wyprzedaży;można zareklamować;Polska;
1376;BIZNES;firmy;usługi faktoringu;chętniej korzystają;Polska;
1377;POLITYKA;Beata Szydło;podniesienie opłaty paliwowej;nie pracuje;Polska;
1378;BIZNES;PLL LOT;samoloty w barwach narodowych;pomalują;Polska;
1379;BIZNES;Tesla;praca w fabryce;chce dać Polakom;Brandenburgia;
1380;BIZNES;pracodawca;wydatki na integrację;musi dzielić;Polska;
1381;BIZNES;;eksport słodyczy;rekordowy;Polska;miniony rok
1382;PRZESTEPSTWO (zatrzymać);firmy;wyprowadzanie dochodów;traci 10 mld zł;Polska;
1383;BIZNES;Piotr Bartkiewicz (Pekao);stopy procentowe;pozostają bez zmian;Polska;
1384;BRAK_ZDARZENIA;;Czarny piątek;nie dla Polaków;;
1385;POLITYKA;Mateusz Morawiecki;program PolandBusinessHarbour;zakłada wsparcie;Polska/Białoruś;
1386;BIZNES;Economist Intelligence Unit;straty w produkcji;ocenia;świat;do 2025 r.
1387;BIZNES;;autonomiczny bus;testy;Gdańsk/A4;najbliższe dni
1388;BIZNES;Brian May (Queen);woda perfumowana Save Me;wypuścił na rynek;świat;niedawno
1389;BIZNES;;polskie kosmetyki;czołowi odbiorcy;świat;
1390;BIZNES;Mercedes;fabryka silników;planuje zainwestować;Jawor;
1391;BIZNES;Tadeusz Kościński;wpływy z VAT;poinformował o wzroście;Polska;styczeń
1392;BIZNES;NBP;banki;ocenia skupienie na gospodarstwach;Polska;
1393;PRZESTEPSTWO (dochodzenie);Komisja Europejska;spłata podatków Google;może stać się przedmiotem dochodzenia;Wielka Brytania;
1394;BIZNES;rząd;badania lokalizacyjne CPK;informuje o zakończeniu;Polska;połowa maja
1395;BIZNES;;oferty pracy;opublikowano;Polska;wrzesień
1396;BIZNES;PKN Orlen;spekulacje Wyborczej;oświadczenie;Polska;
1397;BIZNES;Ford;trzy fabryki;zamyka;Rosja;
1398;BIZNES;resort przedsiębiorczości;grant na inwestycję;rozważa zobowiązanie;Polska;
1399;BIZNES;Wojciech Arndt;rozbudowa zakładu Łucznik;powiedział;Radom;
1400;POLITYKA;rząd Niemiec;akcyza na podgrzewacze;pracuje nad ustawą;Niemcy;
1401;BIZNES;NBP;rok 2016;podsumował;Polska;
1402;BIZNES;Pfizer;dochody;przebiły prognozy;świat;II kwartał 2021 r.
1403;BIZNES;Komisja Europejska;przejęcie ZeniMax przez Microsoft;wyraziła zgodę;UE/USA;
1404;BIZNES;Sławomir Grzyb (IGGP);wznowienie działalności gastronomicznej;ocenił;Polska;po 18 stycznia
1405;POLITYKA;Komisja Europejska;pieniądze z kar;zagroziła;Polska;
1406;BIZNES;;cena praw do emisji CO2;gwałtownie spada;;
1407;PROTEST;właściciele restauracji;strajk głodowy;rozpoczęli;Portugalia;piąty dzień
1408;POLITYKA;;etykiety z kaloriami na alkoholu;projekt nowej ustawy;Polska;
1409;BIZNES;raport Kobiety w IT;zarobki kobiet;można się dowiedzieć;Polska;2023 r.
1410;BIZNES;;spadek liczby urodzeń;obserwowany;Polska;od 30 lat
1411;KATASTROFA;powódź;fala powodziowa;przeszła;Pakistan;
1412;BIZNES;Argentyna;restrukturyzacja zadłużenia;zażądała od MFW;Argentyna;
1413;BIZNES;Orlen Lietuva;instalacja przerobu ropy;podpisała list intencyjny;Litwa;
1414;BIZNES;Stanisław Kluza;prezes KDPW;szykowany;Polska;
1415;PRZESTEPSTWO (zatrzymać);Chiny;wysyłka mięsa z Kanady;poprosiły o wstrzymanie;Chiny/Kanada;środa
1416;BIZNES;PKP Intercity;rentowność;poprawiły;Polska;
1417;BIZNES;;liczba obywateli UE pracujących;spadła;Wielka Brytania;ostatni rok
1418;BIZNES;PAŻP;narzędzie cyfrowe;wdrożyła;Polska;
1419;BRAK_ZDARZENIA;;46 proc.;;;
1420;BIZNES;Paweł Surówka;stanowisko prezesa PZU;zrezygnował;Polska;
1421;BIZNES;spółki;giełda;wycofywanych;;
1422;POLITYKA;gabinet Beaty Szydło;obniżka VAT;rozważa wycofanie;Polska;przyszły rok
1423;BIZNES;PLL LOT;rejsy Warszawa-Bejrut;zainauguruje;Warszawa-Bejrut;piątek wieczorem
1424;BIZNES;PKP Intercity;383 pociągi;uruchomi;Polska;od 9 grudnia
1425;PRZESTEPSTWO;firmy (Visa, Mastercard, Amex);konsumenci;pada ofiarą podstępu;UE;poniedziałek
1426;BIZNES;KGHM i PGNiG;umowy na dostawy gazu;podpisał;Polska;
1427;BRAK_ZDARZENIA;;;;;
1428;POLITYKA;Rosjanie;polskie jabłka;dadzą sobie radę;Rosja;
1429;BIZNES;PKN Orlen;kompleks Olefin III;wybuduje;Płock;do 2024 r.
1430;BIZNES;Ministerstwo Finansów;dochody z VAT;wyższe;Polska;po wrześniu
1431;BIZNES;Polacy;praca zdalna;pracują;Polska;
1432;BRAK_ZDARZENIA;;;;;
1433;BIZNES;Stena Line;rejsy promami;odwołał;Gdynia/Karlskrona;
1434;BIZNES;Andrzej Adamczyk;sieć autostradowa;zostanie ukończona;Polska;2025 r.
1435;POLITYKA;Berlin;opinie o elektrowni atomowej;chce;Niemcy/Polska;
1436;BIZNES;inwestorzy;wyprzedaż akcji;trwa;Wall Street;
1437;BIZNES;Agnieszka Mikulska (CBRE);obniżki cen mieszkań;oceniła;;
1438;BIZNES;Gemius/PBI;badanie odsłon;opublikował;Polska;
1439;BIZNES;PZU;Iga Świątek;objął patronatem;Polska;
1440;BIZNES;Mercedes;fabrykę silników;zbuduje;Jawor;
1441;BIZNES;Moody's;dofinansowanie Katalonii;poinformowała;Hiszpania;czwartek
1442;PRZESTEPSTWO (zatrzymać);Prokuratura w Genewie;bank HSBC (śledztwo);wszczęła;Genewa;
1443;BIZNES;UEFA;przychody;przyniosły;Francja;
1444;BIZNES;PKP Intercity;pociągi EIP Pendolino;wracają;Polska;od 31 maja
1445;BIZNES;Daniel Obajtek;28 tankowców z ropą;zamówił;Polska;
1446;POLITYKA;Ministerstwo Finansów;podatek od pomocy PFR;chce wydłużyć okres;Polska;do końca 2023 r.
1447;BIZNES;Volkswagen;strata operacyjna;zanotował;Wolfsburg;trzeci kwartał
1448;BIZNES;związkowcy i zarząd;porozumienie;zawarli;Polska;wtorek
1449;BIZNES;MRPiPS;stopa bezrobocia;spadła;Polska;kwiecień br.
1450;POLITYKA;Ukraina i Rosja;dostawy gazu;rozmowy zakończyły się sukcesem;Bruksela;
1451;BIZNES;GUS;bezrobocie 6,5 proc.;poinformował;Polska;luty
1452;POLITYKA;niemiecki rząd;sprzedaż zakładu Elmos;zakazał;Niemcy;środa
1453;POLITYKA;Vuczić i Orban;rurociąg naftowy;uzgodnili budowę;Serbia/Węgry;poniedziałek
1454;POLITYKA;Tadeusz Kościński;wygrane w loterii;nie będą opodatkowane;Polska;
1455;POLITYKA;Piotr Naimski;kontrakt z Rosjanami;rezygnacji;Polska;2022 r.
1456;BIZNES;GUS;ceny towarów i usług;wzrosły;Polska;sierpień 2022 r.
1457;BIZNES;Moody's;prognozę deficytu;podniosła;Polska;2016 r.
1458;BIZNES;Włosi;konsumpcja ryżu;zanotowano wzrost;Włochy;
1459;BRAK_ZDARZENIA;;;;;
1460;POLITYKA;rzecznik rządu;mechanizm kompensacyjny;zapowiada;Polska;przyszły rok
1461;BIZNES;Marek Niechciał;udział domów mediowych;powiedział;Polska;
1462;BIZNES;Polacy;wakacje zagraniczne;poleciało mniej;Polska;zeszły rok
1463;POLITYKA;Jacek Sasin;partner budowy elektrowni (Westinghouse);powiedział o wyborze;Waszyngton;niedziela
1464;BRAK_ZDARZENIA;;;;;
1465;POLITYKA;Mateusz Morawiecki;2,5 mld zł dla miast;zapowiedział;Polska;
1466;BIZNES;Francja;inflacja;wzrosła;Francja;
1467;BIZNES;Rostiech;produkcja samolotu MC-21;opóźni się;Rosja;
1468;POLITYKA;Sebastian Skuza;ceny mięsa;nie widzę zagrożenia;Polska;
1469;BIZNES;świat;sprzedaż aut elektrycznych;przekroczy milion;świat;mijający rok
1470;PRZESTEPSTWO;Mathias Doepfner;Bild / Adidas (kontrowersja);nie ujawnił;Niemcy;
1471;BRAK_ZDARZENIA;;;;;
1472;BIZNES;cztery konsorcja;oferty na remont mostu;złożyły;Warszawa;
1473;BIZNES;dyrektor IfW;zamożność mieszkańców;spadku;Niemcy;
1474;BIZNES;Gazprom Export;wniosek PGNiG;potwierdziła;Polska;czwartek
1475;POLITYKA;unijne reguły;plany rządu ws. podatku;mogą pokrzyżować;Polska;
1476;POLITYKA;organizacje pozarządowe;oferty do programu Aktywni Plus;mogą składać;Polska;od czwartku
1477;PRZESTEPSTWO (zatrzymać);fiskus;fikcyjne faktury VAT;wykrył;Polska;2019 r.
1478;PRZESTEPSTWO (zatrzymali);agenci CBA;były prezes i członek zarządu;zatrzymali;Polska;
1479;BIZNES;pracodawcy;rekrutacje;nie hamują;Polska;
1480;BRAK_ZDARZENIA;;;;;
1481;PRZESTEPSTWO (zatrzymać);władze hrabstwa Harris;odszkodowanie od Volkswagena;domagają się;Teksas;
1482;BIZNES;MAE;dochody Rosji z ropy i gazu;spadły;Rosja;styczeń
1483;BIZNES;NCBiR;32,5 mln zł na biogaz;przeznaczyło;Polska;
1484;POLITYKA;Wojciech Jakóbik;współpraca PL/DE/HU;ocenił;Polska;
1485;BIZNES;federacja sektora;70 tys. ślubów (straty);przedstawiła;Włochy;środa
1486;BRAK_ZDARZENIA;;;;;
1487;POLITYKA;Samsung, LG;koreańscy menedżerowie;ewakuują;Ukraina;
1488;KATASTROFA;fala pożarów;pozycja eksportera owoców;może stracić;Chile;
1489;BIZNES;złoty;notowania;idą w górę;Polska;środa
1490;PROTEST;piloci Lufthansy;strajk;zakończyli;Niemcy;noc z czwartku na piątek
1491;BIZNES;rosyjski rubel;wartość;pikuje w dół;Rosja;
1492;BIZNES;Wojciech Lipka;wniosek o rejestrację PAR;zostanie złożony;Polska;pierwsza połowa roku
1493;BIZNES;Polska;liczba aut elektrycznych (62 tys.);zwiększyła się;Polska;do końca listopada
1494;PRZESTEPSTWO (zatrzymany);Henryk K.;król kiełbasianego imperium;został zatrzymany;Buenos Aires;
1495;BIZNES;konsumenci;zakupy bez ruszania się z domu;robi;Polska;
1496;PROTEST;związkowcy;marsz milczący;organizują;Świdnik;środa
1497;BIZNES;bułgarska turystyka;miliony euro (upadłość Thomas Cook);straci;Bułgaria;
1498;BIZNES;skroplony gaz ze USA;dostawy;będzie przypływał;Polska;regularnie
1499;POLITYKA;Jacek Sasin;szantaż Gazpromu;ocenił;Polska;
1500;BIZNES;stopy procentowe;dotychczasowy poziom;pozostaną;Polska;
